class,n_modes,n_wells,mols_per_well,n_groups,n_singletons,largest_group,largest_group_wells,median_group,mean_group,gini_group,largest_group_share,n_groups_ge2,mols_in_groups_ge2,frac_in_groups_ge2,n_wellgroups_ge2,frac_wells_in_groups_ge2,n_groups_ge4,mols_in_groups_ge4,frac_in_groups_ge4,n_wellgroups_ge4,frac_wells_in_groups_ge4,n_groups_ge8,mols_in_groups_ge8,frac_in_groups_ge8,n_wellgroups_ge8,frac_wells_in_groups_ge8,n_groups_ge10,mols_in_groups_ge10,frac_in_groups_ge10,n_wellgroups_ge10,frac_wells_in_groups_ge10,n_groups_ge24,mols_in_groups_ge24,frac_in_groups_ge24,n_wellgroups_ge24,frac_wells_in_groups_ge24,n_groups_ge96,mols_in_groups_ge96,frac_in_groups_ge96,n_wellgroups_ge96,frac_wells_in_groups_ge96,cell,arm,slice,n_parents,batch_median,batch_max,batch_gini,reactions_used
A,78,66,1.182,15,5,21,14,4,5.2,0.508,0.269,10,73,0.936,10,0.924,8,69,0.885,7,0.818,4,50,0.641,3,0.5,2,33,0.423,2,0.364,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching,at100rxn,4,11.5,54,0.545,100
B,78,66,1.182,9,2,39,29,4,8.667,0.544,0.5,7,76,0.974,7,0.97,7,76,0.974,6,0.924,3,58,0.744,3,0.712,2,49,0.628,2,0.591,1,39,0.5,1,0.439,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching,at100rxn,4,11.5,54,0.545,100
A,300,274,1.095,85,30,21,14,2,3.529,0.483,0.07,55,270,0.9,54,0.887,25,202,0.673,22,0.617,12,137,0.457,10,0.394,8,103,0.343,6,0.266,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching,full,15,18,54,0.356,338
B,300,274,1.095,17,5,117,102,9,17.647,0.653,0.39,12,295,0.983,12,0.982,10,290,0.967,10,0.964,9,286,0.953,9,0.949,8,277,0.923,8,0.92,4,212,0.707,2,0.522,1,117,0.39,1,0.372,scent_drd2_seed44_m10,hub_batching,full,15,18,54,0.356,338
A,28,28,1.0,28,28,1,1,1.0,1.0,0.0,0.036,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,best_candidate,at100rxn,28,1.0,1,0.0,100
B,28,28,1.0,6,1,12,12,3.5,4.667,0.369,0.429,5,27,0.964,5,0.964,3,21,0.75,3,0.75,1,12,0.429,1,0.429,1,12,0.429,1,0.429,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,best_candidate,at100rxn,28,1.0,1,0.0,100
A,300,300,1.0,300,300,1,1,1.0,1.0,0.0,0.003,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,best_candidate,full,298,1.0,2,0.007,1118
B,300,300,1.0,12,2,110,110,15.0,25.0,0.593,0.367,10,298,0.993,10,0.993,9,295,0.983,9,0.983,7,284,0.947,7,0.947,6,276,0.92,6,0.92,4,232,0.773,4,0.773,1,110,0.367,1,0.367,scent_drd2_seed44_m10,best_candidate,full,298,1.0,2,0.007,1118
A,75,62,1.21,5,0,24,16,14,15.0,0.165,0.32,5,75,1.0,5,1.0,5,75,1.0,5,1.0,5,75,1.0,5,1.0,5,75,1.0,4,0.855,1,24,0.32,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn,5,14,24,0.165,100
B,75,62,1.21,2,0,61,49,37.5,37.5,0.313,0.813,2,75,1.0,2,1.0,2,75,1.0,2,1.0,2,75,1.0,2,1.0,2,75,1.0,2,1.0,1,61,0.813,1,0.79,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn,5,14,24,0.165,100
A,300,271,1.107,32,0,24,16,9.0,9.375,0.297,0.08,32,300,1.0,32,1.0,28,290,0.967,28,0.963,20,249,0.83,17,0.742,14,196,0.653,12,0.579,1,24,0.08,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching_modes10_reward,full,29,10,24,0.324,362
B,300,271,1.107,5,0,198,176,26,60.0,0.589,0.66,5,300,1.0,5,1.0,4,298,0.993,4,0.993,4,298,0.993,4,0.993,4,298,0.993,4,0.993,3,286,0.953,3,0.948,1,198,0.66,1,0.649,scent_drd2_seed44_m10,hub_batching_modes10_reward,full,29,10,24,0.324,362
A,75,62,1.21,5,0,24,16,14,15.0,0.165,0.32,5,75,1.0,5,1.0,5,75,1.0,5,1.0,5,75,1.0,5,1.0,5,75,1.0,4,0.855,1,24,0.32,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching_modes10_group,at100rxn,5,14,24,0.165,100
B,75,62,1.21,2,0,61,49,37.5,37.5,0.313,0.813,2,75,1.0,2,1.0,2,75,1.0,2,1.0,2,75,1.0,2,1.0,2,75,1.0,2,1.0,1,61,0.813,1,0.79,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching_modes10_group,at100rxn,5,14,24,0.165,100
A,300,271,1.107,32,0,24,16,9.0,9.375,0.297,0.08,32,300,1.0,32,1.0,28,290,0.967,28,0.963,20,249,0.83,17,0.742,14,196,0.653,12,0.579,1,24,0.08,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_m10,hub_batching_modes10_group,full,29,10,24,0.324,362
B,300,271,1.107,5,0,198,176,26,60.0,0.589,0.66,5,300,1.0,5,1.0,4,298,0.993,4,0.993,4,298,0.993,4,0.993,4,298,0.993,4,0.993,3,286,0.953,3,0.948,1,198,0.66,1,0.649,scent_drd2_seed44_m10,hub_batching_modes10_group,full,29,10,24,0.324,362
