cum_reactions,n_reagents,named_reaction,parent,reactions_added,reagents,reward,smiles,step,template_id
21,1,Direct acid -> amine (reductive),CC(N)C(=O)O,1,NCCc1c[nH]c2ccc(O)cc12,1.0,CC(N)CNCCc1c[nH]c2ccc(O)cc12,1,136
22,1,Direct acid -> amine (reductive),CC(N)C(=O)O,1,NCCc1ccc(O)cc1,0.8703,CC(N)CNCCc1ccc(O)cc1,2,136
23,1,Direct acid -> amine (reductive),CC(N)C(=O)O,1,Brc1ccc2c(CNCc3ccccc3)c[nH]c2c1,0.7921,CC(N)CN(Cc1ccccc1)Cc1c[nH]c2cc(Br)ccc12,3,138
24,1,Direct acid -> amine (reductive),CC(N)C(=O)O,1,O=C(O)[C@H]1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,0.569,CC(N)CN1C(C(=O)O)Cc2ccccc2C1c1c[nH]c2ccc(F)cc12,4,138
25,1,Direct acid -> amine (reductive),CC(N)C(=O)O,1,O=C(O)[C@H]1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,0.5356,CC(NCC1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1)C(=O)O,5,137
26,1,Direct acid -> amine (reductive),CC(N)C(=O)O,1,Fc1ccc2[nH]cc(CNC3CCC3)c2c1,0.5,CC(N)CN(Cc1c[nH]c2ccc(F)cc12)C1CCC1,6,138
27,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,NCCc1ccc(O)cc1,0.9574,Oc1ccc(CCNCC2CCCN2)cc1,7,136
28,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,O=C(O)[C@@H](NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,0.9319,O=C(O)C1CCCN1CC(NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,8,139
29,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,NCCc1c[nH]c2ccccc12,0.9298,c1ccc2c(CCNCC3CCCN3)c[nH]c2c1,9,136
30,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,O=C(O)[C@@H](NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,0.9201,O=C(O)C(c1ccccc1)N(Cc1c[nH]c2ccc(Br)cc12)CC1CCCN1,10,138
31,1,Amide coupling,O=C(O)C1CCCN1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.8689,Nc1c(Br)cccc1N(Cc1c[nH]c2ccc(Br)cc12)C(=O)C1CCCN1,11,78
32,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,0.8582,Nc1cc(Br)ccc1N(Cc1c[nH]c2ccc(F)cc12)CC1CCCN1,12,138
33,1,Amide coupling,O=C(O)C1CCCN1,1,NCCc1c[nH]c2ccc(O)cc12,0.8466,O=C(NCCc1c[nH]c2ccc(O)cc12)C1CCCN1,13,76
34,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,NCc1cccc(O)c1,0.8429,Oc1cccc(CNCC2CCCN2)c1,14,136
35,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,N#Cc1ccc2[nH]cc(CNc3ccc(Br)cc3)c2c1,0.783,N#Cc1ccc2[nH]cc(CN(CC3CCCN3)c3ccc(Br)cc3)c2c1,15,138
36,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,COc1ccccc1CCN,0.6936,COc1ccccc1CCNCC1CCCN1,16,136
37,1,Esterification,O=C(O)C1CCCN1,1,NCCc1c[nH]c2ccc(O)cc12,0.6928,NCCc1c[nH]c2ccc(OC(=O)C3CCCN3)cc12,17,131
38,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,NCc1ccccc1O,0.6671,Oc1ccccc1CNCC1CCCN1,18,136
39,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.5768,O=C(CCl)c1ccc(F)cc1N1CCN(CCNCC2CCCN2)CC1,19,136
40,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.553,O=C(O)C(Cc1ccc(O)cc1)NCC1CCCN1,20,136
41,1,Direct acid -> amine (reductive),O=C(O)C1CCCN1,1,Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,0.5,Fc1ccc2[nH]cc(CNc3ccc(Br)cc3NCC3CCCN3)c2c1,21,136
43,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,2,O=C(O)CCNCc1c[nH]c2ccc(F)cc12,0.9912,COc1ccc(O)c(NC2CN(CCCNCc3c[nH]c4ccc(F)cc34)C2)c1,22,139
44,1,Buchwald-Hartwig amination,COc1ccc(O)c(NC2CNC2)c1,1,NCCc1ccccc1Br,0.9889,COc1ccc(O)c(N(c2ccccc2CCN)C2CNC2)c1,23,114
