generator,target,seed,config,checkpoint,guidance_sidecar
rgfn,6td3,44,configs/glue/fixed_reward_6td3_5k_dockbatch1600.gin,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/rgfn_6td3_5k/seed44/train/checkpoints/last_gfn.pt,
rgfn,clpp,44,configs/glue/fixed_reward_clpp_5k_dockbatch1600.gin,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/rgfn_clpp_5k/seed44/train/checkpoints/last_gfn.pt,
scent,6td3,44,validation/configs/scent_6td3_fixed_5k.gin,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/scent_6td3_5k/seed44/train/checkpoints/last_gfn.pt,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/scent_6td3_5k/seed44/train/checkpoints/guidance_models.pt
scent,clpp,44,validation/configs/scent_clpp_fixed_5k.gin,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/scent_clpp_5k/seed44/train/checkpoints/last_gfn.pt,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/scent_clpp_5k/seed44/train/checkpoints/guidance_models.pt
fraggfn,6td3,44,validation/configs/fraggfn_6td3_docking_fixed_5k.yaml,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/fraggfn_6td3_5k/seed44/checkpoints/last_gfn.pt,
fraggfn,clpp,44,validation/configs/fraggfn_clpp_docking_fixed_5k.yaml,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/fraggfn_clpp_5k/seed44/checkpoints/last_gfn.pt,
rxnflow,6td3,44,validation/configs/rxnflow_6td3_docking_fixed_5k.yaml,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/rxnflow_6td3_5k/seed44/checkpoints/last_gfn.pt,
rxnflow,clpp,44,validation/configs/rxnflow_clpp_docking_fixed_5k.yaml,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/rxnflow_clpp_5k/seed44/checkpoints/last_gfn.pt,
rgfn,seh,44,configs/glue/fixed_reward_seh_proxy_stdlib_5k.gin,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/rgfn_seh_5k/seed44/train/checkpoints/last_gfn.pt,
rgfn,drd2,44,configs/glue/fixed_reward_drd2_stdlib_5k.gin,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/rgfn_drd2_5k/seed44/train/checkpoints/last_gfn.pt,
scent,seh,44,validation/configs/scent_seh_fixed_5k.gin,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/scent_seh_5k/seed44/train/checkpoints/last_gfn.pt,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/scent_seh_5k/seed44/train/checkpoints/guidance_models.pt
scent,drd2,44,validation/configs/scent_drd2_fixed_5k.gin,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/scent_drd2_5k/seed44/train/checkpoints/last_gfn.pt,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/scent_drd2_5k/seed44/train/checkpoints/guidance_models.pt
rxnflow,seh,44,validation/configs/rxnflow_seh_fixed_stdlib_5k.yaml,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/rxnflow_seh_5k/seed44/checkpoints/last_gfn.pt,
rxnflow,drd2,44,validation/configs/rxnflow_drd2_fixed_stdlib_5k.yaml,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/rxnflow_drd2_5k/seed44/checkpoints/last_gfn.pt,
fraggfn,seh,44,validation/configs/fraggfn_seh_fixed_5k.yaml,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/fraggfn_seh_5k/seed44/checkpoints/last_gfn.pt,
fraggfn,drd2,44,validation/configs/fraggfn_drd2_maxfrag6.yaml,/scratch/markymoo/rgfn_runs/experiments/fixed_reward/fraggfn_drd2_5k/seed44/checkpoints/last_gfn.pt,
